trip_id,start_time,end_time,headway_secs
H_VIEW1,6:30:00,8:00:00,1800
H_VIEW2,21:30:00,23:00:00,1800
20_ROUTE1,19:30:00,21:30:00,1800
20_ROUTE1,21:30:00,22:45:00,1800
SPTWN1,06:00:00,08:30:00,600
SPTWN2,16:30:00,19:00:00,600
SPTWN2,19:30:00,21:00:00,600
SPTWN2,21:30:00,23:00:00,600
G_PORTMORE1,06:00:00,08:00:00,1800
G_PORTMORE2,16:30:00,18:30:00,1800
G_PORTMORE2,19:30:00,21:30:00,1800
G_PORTMORE2,21:30:00,22:30:00,1800
MONZA1,06:00:00,08:00:00,600
MONZA2,16:30:00,18:30:00,600
MONZA2,19:30:00,21:30:00,600
MONZA2,21:30:00,22:30:00,600
G_PARK1,06:00:00,08:00:00,1800
G_PARK2,16:30:00,18:30:00,1800
G_PARK2,19:30:00,21:00:00,1800
G_PARK2,21:30:00,22:30:00,1800
D_PARK1,6:30:00,08:00:00,1800
D_PARK2,16:30:00,19:00:00,1800
D_PARK2,19:30:00,20:45:00,1800
D_PARK2,21:30:00,23:00:00,1800
