stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
HARBOUR_DRIVE,Harbour Drive,,17.9562046,-76.7237896,,
HARBOUR_VIEW_MINI_STADIUM,Harbour View Mini Stadium,,17.9563649,-76.7172378,,
FORT_NUGENT_DRIVE,Fort Nugent Drive,,17.954729, -76.719320,,
MARS_DRIVE,Mars Drive,,17.9495709,-76.7126322,,
HARBOUR_VIEW_STOP_BEFORE_BRIDGE,Harbour View Stop Before Bridge,,17.9487828,-76.7152441,,
OPPOSITE_DONALD_QUARRIE,Opposite Donald Quarrie High School(Return),,17.9487471,-76.7170841,,
HARBOUR_VIEW_ROUNDABOUT,Harbour View Roundabout Opposite Total Gas Station,,17.948553,-76.7197652,,
HARBOUR_DRIVE_RET,Harbour Drive - On The Highway(Return),,17.9547094,-76.7270742,,
OPPOSITE_HARBOUR_DRIVE, Opposite Harbour Drive,,17.9567937,-76.7279876,,
OPPOSITE_BAYSHORE_PARK,Opposite Bayshore Park,,17.957517,-76.7275799,,
CARIB_CEMENT,Carib Cement (return),,17.9654448,-76.7333116,,
OPPOSITE_CARIB_CEMENT, Opposite Carib Cement Main Gate,,17.9654276,-76.7338258,,
OPPOSITE_ROCKFORT_MINERAL_SPA,Opposite Rockfort Mineral Bath,,17.9669899,-76.7373963,,
OPPOSITE_COOL_PETROLEUM_OFFICE,Across from Cool Petroleum Admin Office,,17.968046, -76.742926,,
COOL_PETROLEUM_HEAD_OFFICE,By Cool Petroleum Head Office(return),,17.968232, -76.743052,,
WINDWARD_ROAD_JPS_SUBSTATION,Opposite Windward Road JPS Substation,,17.969824,-76.7515926,,
OPPOSITE_KFC_WINDWARD_ROAD,Across from KFC Windward Road,,17.9724751,-76.7546086,,
KFC_WINDWARD_ROAD,Beside KFC Windward Road (Return),,17.9726325,-76.7546552,,
74_WINDWARD_ROAD,By 74 Windward Road,,17.974133,-76.756367,,
SAVEMORE_SUPERCENTRE,By Savemore Supercentre (Return),,17.974199, -76.757118,,
WINDWARD_ROAD_POLICE_STATION,By Windward Road Police Station,,17.973767,-76.7583985,,
WINDWARD_RD_PRIMARY,By Windward Road Primary School (Return),,17.9736669,-76.7599844,,
3_MOUNTAIN_VIEW_AVE,By 3 Mountain View Avenue,,17.974168, -76.760569,,
8_MOUNTAIN_VIEW_AVE,By 8 Mountain View Avenue (Return),,17.9750368,-76.7622545,,
OPPOSITE_18B_MOUNTAIN_VIEW_AVENUE,Opposite 18B Mountain View Avenue,,17.976245, -76.761191,,
20_1_2_MOUNTAIN_VIEW_AVE,By 20 1/2 Mountain View Avenue (Return),,17.9758341,-76.7624338,,
OPPOSITE_30A_MOUNTAIN_VIEW_AVE,Opposite 30A Mountain View Avenue,,17.977961,-76.7636657,,
38_1_2_MOUNTAIN_VIEW_AVE,By 38 1/2 Mountain View Avenue (return),,17.9782686,-76.7631537,,
50_MOUNTAIN_VIEW_AVE,By 50 Mountain View Avenue (Return),,17.9804661,-76.7635279,,
OPPOSITE_50_MOUNTAIN_VIEW_AVE,Opposite 50 Mountain View Avenue,,17.981184,-76.7624184,,
MOUNTAIN_VIEW_AVE_BY_GULLY,Mountain View Avenue By Gully (Return),,17.9827355,-76.7620637,,
63_MOUNTAIN_VIEW_AVE,63 Mountain View Avenue,,17.9835452,-76.762103,,
60_MOUNTAIN_VIEW_AVE,60 Mountain View Avenue (Return),,17.9847364,-76.7638975,,
71A_MOUNTAIN_VIEW_AVE,71a Mountain View Avenue,,17.9859038,-76.7634139,,
84_MOUNTAIN_VIEW_AVE,84 Mountain View Avenue (return),,17.9859038,-76.7634139,,
87A_MOUNTAIN_VIEW_AVE,87A Mountain View Avenue,,17.9873859,-76.7641328,,
OPPOSITE_EVERCOOL_lANE,Mountain View Avenue Opposite Evercool Lane,,17.9898,-76.7664568,,
124_1_2_MOUNTAIN_VIEW_AVE,124 1/2 Mountain View Avenue (return),,17.992883,-76.7670443,,
EXCELSIOR_SCHOOL,Excelsior School Mountain View Avenue,,17.9944697,-76.7673929,,
OPPOSITE_EXED_COMMUNITY_COLLEGE,Opposite Excelsior Community College(Return),,17.9946922,-76.7673756,,
NANNYVILLE_GARDENS,Nannyville Gardens,,17.9968968,-76.7681269,,
JAMAICA_RIFLE_ASSOCIATION,Jamaica Rifle Association(Return),,17.9977707,-76.7683464,,
STOP_BEFORE_STADIUM_EAST,Mountain View Avenue Stop Before Stadium East,,17.9987171,-76.768982,,
STATUE_ROAD,Mountain View Avenue Statue Road,,18.0003438,-76.7691902,,
OPPOSITE_STADIUM_EAST,Stop Opposite Stadium East Mountain View Ave(Return),,18.0015255,-76.7696496,,
STADIUM_EAST,Stadium East - Mountain View Avenue,,18.0026581,-76.7700519,,
ALAMBRA_INN,Alambra Inn - Mountain View Avenue,,18.0043232,-76.7705756,,
TOYOTA_JAMAICA,Stop In Front Of Toyota Jamaica,,18.0106832,-76.771708,,
OPPOSITE_PNP_HQ,Opposite PNP Headquarters (Return),,18.0086125,-76.772358,,
STS_PETER_AND_PAUL_PREP,In Front of Sts Peter & Paul Church (Return),,18.0188872,-76.7697872,,
CAMPION_COLLEGE_OLD_HOPE_ROAD,Campion College Back Gate On Old Hope Road,,18.0188872,-76.7697872,,
OPPOSITE_MATILDAS_CORNER_POLICE_STATION,Opposite from Matilda's corner Police Station(Return),,18.0192547,-76.769118,,
BOULEVARD_SUPER_CENTRE_PLAZA,Boulevard SuperCenter Shopping Mall,,18.0264799,-76.8333459,,
GRAIN_STORE,Grain Store Washington Boulevard (Return),,18.0245025,-76.8242671,,
BEFORE_MINNA_WILMOT_BRIDGE,Before Minna Wilmot Bridge(Return),,18.0243779,-76.828925,,
MINNA_WILMOT_BRIDGE,Minna Wilmot Bridge (Return),,18.0251719,-76.8315995,,
OPPOSITE_BOULEVARD_SUPER_CENTRE,Opposite Boulevard Super Centre(Return),,18.0251719,-76.8315995,,
PETES_BAKERY,Pete's Bakery,,18.026292, -76.822410,,
GLENDALE_SCHEME,Glendale Scheme By Hughenden Pharmacy,,18.027785,-76.822686,,
HUGHENDEN,Hughenden/Molynes Stop,,18.0295535,-76.8228519,,
QUEENSBURY,Queensbury (In Front Of Valentine Gardens sign),,18.0329131,-76.8241953,,
QUEENSBOROUGH,Queensborough,,18.0391259,-76.820054,,
PRICE_RIGHT,Price Right,,18.0433461,-76.8201453,,
PERKINS_ESTATE,Perkins Estate,,18.0390867,-76.828918,,
MEADOWBROOK_ESTATE,Meadowbrook Estate,,18.0351821,-76.8357912,,
DUHANEY_DRIVE,Duhaney Drive,,18.0323438,-76.8401883,,
DUHANEY_PARK_PLAZA,Duhaney Drive Plaza,,18.0285073,-76.8432828,,
WASHINGTON_BOULEVARD,Washington Boulevard (Across from Weymouth Drive),,18.0273154,-76.8412589,,
PATRICK_DRIVE,Patrick Drive,,18.0277158,-76.8381354,,
PEMBROKE_HALL,Pembroke Hall Drive,,18.025092,-76.8336603,,
BOULEVARD_SUPER_CENTRE, Boulevard Super Centre,,18.025092,-76.8336603,,
MOLYNES_COURT,Molynes Court,,18.0224532,-76.8159433,,
MOLYNES_ROAD,Molynes Road (By Health Brands),,18.0217516,-76.8138642,,
OPPOSITE_ROGERS_BLOCK,Opposite Rogers Block Factory (Return),,18.0205922,-76.8129296,,
OPPOSITE_YP_SEATON,Opposite YP Seaton / Molynes Road (Return),,18.0185558,-76.8114805,,
LATMAR_HARDWARE,Latmar Hardware/Molynes Road,,18.0205779,-76.8127437,,
42_MOLYNES_ROAD,42 Molynes Road,,18.0179506,-76.8100429,,
GM_CHALLENGER,GM Challenger/ Molynes Road,,18.0149964,-76.8079699,,
TOTAL_HARDWARE,Total Hardware Opposite 42a Molynes Road(Return),,18.0160298,-76.8090436,,
SUN_ISLAND,Sun Island Molynes Road (Return),,18.0146265,-76.8067094,,
JETCON,Jetcon,,18.0136951,-76.8052686,, 
2_MOLYNES_ROAD,2 Molynes Road(Across from HWT Transport Centre),,18.0120365,-76.8023734,,
CLOCK_TOWER_HWT,Half Way Tree Clock Tower (Return),,18.0108069,-76.7960999,,
YORK_PLAZA,York Plaza (Return),,18.0100922,-76.7984891,,
10_HOPE_ROAD,10 Hope Road (Across from Brooklyn Supermarket),,18.0111845,-76.7982857,,
14_HOPE_ROAD,14 Hope Road (Near Surbiton Avenue),,18.0117304,-76.7956035,,
DEVON_HOUSE,Devon House,,18.0136333,-76.7921596,,
OPPOSITE_DEVON_HOUSE,Opposite Devon House,,18.0140427,-76.7894626,,
OPPOSITE_ANDREWS_MEMORIAL,Hope Road (Opposite Andrews Memorial Hospital),,18.0150566,-76.7906307,,
PRIORY_SCHOOL,Hope Road(Priory Prep And High School),,18.0161335,-76.7878412,,
