timetable_id,route_id,direction_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday,timetable_label,service_notes,orientation,timetable_page_id,timetable_sequence,direction_name
1,H_VIEW,0,20170101,20171231,1,1,1,1,1,0,0,,horizontal,,,,
2,H_VIEW,1,20170101,20171231,1,1,1,1,1,0,0,,horizontal,,,,
3,20_ROUTE,1,20170101,20171231,1,1,1,1,1,0,0,,horizontal,,,,
4,S_TOWN,0,20170101,20171231,1,1,1,1,1,0,0,,horizontal,,,,
5,S_TOWN,1,20170101,20171231,1,1,1,1,1,0,0,,horizontal,,,,
6,G_PORTMORE,0,20170101,20171231,1,1,1,1,1,0,0,,horizontal,,,,
7,G_PORTMORE,1,20170101,20171231,1,1,1,1,1,0,0,,horizontal,,,,
8,MONZA,0,20170101,20171231,1,1,1,1,1,0,0,,horizontal,,,,
9,MONZA,1,20170101,20171231,1,1,1,1,1,0,0,,horizontal,,,,
10,G_PARK,0,20170101,20171231,1,1,1,1,1,0,0,,horizontal,,,,
11,G_PARK,1,20170101,20171231,1,1,1,1,1,0,0,,horizontal,,,,
12,D_PARK,0,20170101,20171231,1,1,1,1,1,0,0,,horizontal,,,,
13,D_PARK,1,20170101,20171231,1,1,1,1,1,0,0,,horizontal,,,,
